iata_code,icao_code,airport_name,alt_name,other_codes
PSF,KPSF,Pittsfield Municipal Airport,,
TKO,FXTK,Tlokoeng Airport,,
BVU,PABG,Beluga Airport,,FAA: BLG
AUP,AYAG,Agaun Airport,,
WIE,ETOU,Wiesbaden Army Airfield,,
ALY,HEAX,El Nouzha Airport,,
YQK,CYQK,Kenora Airport,,
DRI,KDRI,Beauregard Regional Airport,,
MBP,SPBB,Moyobamba Airport,,
NBE,DTNH,Enfidha-Hammamet International Airport,,
GLZ,EHGR,Gilze-Rijen Air Base,,
SPT,,Sipitang Airstrip,,
ILO,RPVI,Iloilo International Airport,,
FRS,MGTK,Mundo Maya International Airport,,
CKY,GUCY,Conakry International Airport,Gbessia Int'l Airport,
SRQ,KSRQ,Sarasota–Bradenton International Airport,,
FGU,NTGB,Fangatau Airport,,
PQQ,YPMQ,Port Macquarie Airport,,
PUK,NTGQ,Pukarua Airport,,
KYU,PFKU,Koyukuk Airport,,
BXE,GOTB,Bakel Airport,,
ZNZ,HTZA,Abeid Amani Karume International Airport,,
SMS,FMMS,Sainte Marie Airport,,
JGN,ZLJQ,Jiayuguan Airport,,
JAM,LBIA,Bezmer Air Base,,
YIH,ZHYC,Yichang Sanxia Airport,,
HSZ,RCPO,Hsinchu Air Base,,
PIO,SPSO,Capitán FAP Renán Elías Olivera Airport,,
CIF,ZBCF,Chifeng Yulong Airport,,
FEN,SBFN,Fernando de Noronha Airport,Gov. Carlos Wilson Airport,
LHE,OPLA,Allama Iqbal International Airport,,
MEL,YMML,Melbourne Airport,,
OBA,,Oban Airport,,
EVN,UDYZ,Zvartnots International Airport,,
SCA,,Santa Catalina Airport,,
SSF,KSSF,Stinson Municipal Airport,,
DBP,AYDB,Debepare Airport,,
PPJ,WIIG,Panjang Island Airport,,
JCK,YJLC,Julia Creek Airport,,
WRZ,VCCW,Weerawila Airport,,
MSX,FCMM,Mossendjo Airport,,
AQP,SPQU,Rodríguez Ballón International Airport,,
JSH,LGST,Sitia Public Airport,,
MLJ,KMLJ,Baldwin County Airport,,
LBV,FOOL,Libreville International Airport,,
EVX,LFOE,Évreux-Fauville Air Base,,
MWG,,Marawaka Airport,,
MZK,NGMK,Marakei Airport,,
OHI,FYOS,Oshakati Airport,,
KAD,DNKA,Kaduna Airport,,
TWT,RPMN,Sanga-Sanga Airport,,
GBH,PAGB,Galbraith Lake Airport,,
BGW,ORBI,Baghdad International Airport,,
APH,KAPH,A.P. Hill Army Airfield,,
WJA,,Woja Airport,,
FBD,OAFZ,Fayzabad Airport,,
UUN,ZMBU,Baruun-Urt Airport,,
IBR,RJAH,Ibaraki Airport,,
NUL,PANU,Nulato Airport,,
