iata_code,icao_code,airport_name,alt_name,other_codes
KTP,MKTP,Tinson Pen Aerodrome,,
KWH,OAHN,Khwahan Airport,,
UJU,ZKUJ,Uiju Airfield,,
TMN,NGTM,Tamana Airport,,
RKE,EKRK,Roskilde Airport,,
AXS,KAXS,Altus/Quartz Mountain Regional Airport,,
OGM,,Ustupu-Ogobsucum Airport,,
JKR,VNJP,Janakpur Airport,,
TCV,MYTC,Torch Cay Airport,,
LWB,KLWB,Greenbrier Valley Airport,,
APG,KAPG,Phillips Army Airfield,,
UMC,,Umba Airport,,
MBT,RPVJ,Moises R. Espinosa Airport,Masbate Airport,
ARY,YARA,Ararat Airport,,
SJE,SKSJ,Jorge Enrique González Torres Airport,,
KCN,,Chernofski Harbor Seaplane Base,,
ANF,SCFA,Cerro Moreno International Airport,,
RAL,KRAL,Riverside Municipal Airport,,
EIB,EDGE,Eisenach-Kindel Airport,,
AKM,,Zakouma Airport,,
PVC,KPVC,Provincetown Municipal Airport,,
LNY,PHNY,Lanai Airport,,
COO,DBBB,Cadjehoun Airport,,
XUZ,ZSXZ,Xuzhou Guanyin Airport,,
BOU,LFLD,Bourges Airport,,
CRM,RPVF,Catarman National Airport,,
YLN,ZYYL,Yilan Airport,,
WUV,,Wuvulu Island Airport,,
VHN,KVHN,Culberson County Airport,,
BYD,OYBI,Al Bayda Airport,,
MKI,FEGE,M'Boki Airport,,
CKU,,Cordova Municipal Airport,,
MPB,,Miami Seaplane Base,,FAA: X44
KOY,,Olga Bay Seaplane Base,,
YBI,,Black Tickle Airport,,TC: CCE4
VNT,EVVA,Ventspils International Airport,,
MXJ,DNMN,Minna Airport,,
YPL,CYPL,Pickle Lake Airport,,
ULY,UWLW,Ulyanovsk Vostochny Airport,,
UCT,UUYH,Ukhta Airport,,
MCE,KMCE,Merced Regional Airport,MacReady Field,
BSN,FEFS,Bossangoa Airport,,
CRD,SAVC,General Enrique Mosconi International Airport,,
LWO,UKLL,Lviv Danylo Halytskyi International Airport,,
FEB,VNSR,Sanfebagar Airport,,
SIK,KSIK,Sikeston Memorial Municipal Airport,,
IRZ,SWTP,Tapuruquara Airport,,
BMZ,AYBF,Bamu Airport,,
BAN,FZVR,Basongo Airport,,
RGN,VYYY,Yangon International Airport,,
YAG,CYAG,Fort Frances Municipal Airport,,
UVO,,Uvol Airport,,
AAB,YARY,Arrabury Airport,,
WCA,SCST,Gamboa Airport,,
GUV,AYML,Mougulu Airport,,
PEC,,Pelican Seaplane Base,,
WAV,YWAV,Wave Hill Airport,,
ENI,RPEN,El Nido Airport,,
MES,WIMK,Soewondo Air Force Base,,
ELV,PAEL,Elfin Cove Seaplane Base,,
JAD,YPJT,Jandakot Airport,,
TRK,WALR,Juwata International Airport,,
EVM,KEVM,Eveleth-Virginia Municipal Airport,,
OZC,RPMO,Labo Airport,,
BGV,SSBG,Bento Gonçalves Airport,,
ITU,UHSI,Iturup Airport,,
AXL,,Alexandria Airport,,
MYW,HTMT,Mtwara Airport,,
HGU,AYMH,Mount Hagen Airport,,
AUJ,AYAT,Ambunti Airport,,
DNB,YDBR,Dunbar Airport,,
KVX,USKK,Pobedilovo Airport,,
INH,FQIN,Inhambane Airport,,
RIF,KRIF,Richfield Municipal Airport,,
PRP,LFKO,Propriano Airport,,
MHP,UMMM,Minsk-1 Airport,closed 2015,
SUB,WARR,Juanda International Airport,,
OKP,AYOJ,Oksapmin Airport,,
JBS,SSSB,São Borja Airport,,
IPL,KIPL,Imperial County Airport,Boley Field,
GAD,KGAD,Northeast Alabama Regional Airport,,
FBR,KFBR,Fort Bridger Airport,,
LDA,VEMH,Malda Airport,,
BVZ,YBYS,Beverley Springs Airport,,
SKT,OPST,Sialkot International Airport,,
ISL,LTBA,Istanbul Atatürk Airport,,
DEM,HADD,Dembidolo Airport,,
HFA,LLHA,Haifa Airport,Uri Michaeli Airport,
FRH,KFRH,French Lick Municipal Airport,,
TLN,LFTH,Toulon–Hyères Airport,Hyères Le Palyvestre Airport,
HPN,KHPN,Westchester County Airport,,
EPU,EEPU,Pärnu Airport,,
DJJ,WAJJ,Sentani Airport,,
YBS,,Opapimiskan Lake Airport,,TC: CKM8
VEX,,Tioga Municipal Airport,,FAA: D60
LEW,KLEW,Auburn/Lewiston Municipal Airport,,
LUD,FYLZ,Lüderitz Airport,,
GAG,KGAG,Gage Airport,,
CEA,KCEA,Cessna Aircraft Field,,
GOT,ESGG,Göteborg Landvetter Airport,,
GDG,UHBI,Magdagachi Airport,,
BOT,AYET,Bosset Airport,,
COU,KCOU,Columbia Regional Airport,,
NHK,KNHK,NAS Patuxent River,Trapnell Field,
FBL,KFBL,Faribault Municipal Airport,,
TNX,VDST,Steung Treng Airport,,
JGA,VAJM,Jamnagar Airport,Govardhanpur Airport,
YPQ,CYPQ,Peterborough Airport,,
CXH,CYHC,Vancouver Harbour Flight Centre,Coal Harbour Seaplane Base,
GRB,KGRB,Austin Straubel International Airport,,
BYT,EIBN,Bantry Aerodrome,,
OKC,KOKC,Will Rogers World Airport,,
GRP,SWGI,Gurupi Airport,,
TYT,SUTR,Treinta y Tres Airport,,
HES,KHRI,Hermiston Municipal Airport,,FAA: HRI
KKC,VTUK,Khon Kaen Airport,,
DAK,HEDK,Dakhla Oasis Airport,,
PVF,KPVF,Placerville Airport,,
MPF,,Mapoda Airport,,
HTV,KUTS,Huntsville Municipal Airport,Bruce Brothers Regional,
GSJ,MGSJ,San José Airport,,
HKG,VHHH,Hong Kong International Airport,Chek Lap Kok Airport,
ASY,KASY,Ashley Municipal Airport,,
TKB,,Tekadu Airport,,
PMD,KPMD,Palmdale Regional Airport,,
NKP,,Nukutepipi Airport,,
MEW,FZVM,Mweka Airport,,
YTB,,Hartley Bay Water Aerodrome,,TC: CAY4
LBG,LFPB,Paris–Le Bourget Airport,,
BLJ,DABT,Mostépha Ben Boulaid Airport,,
HRK,UKHH,Kharkiv International Airport,Osnova Airport,
LML,,Lae Airport,,
ULU,HUGU,Gulu Airport,,
THM,KTHM,Thompson Falls Airport,,
FLV,KFLV,Sherman Army Airfield,,
HMY,RKTP,Seosan Air Base,,
WAZ,YWCK,Warwick Airport,,
SVS,,Stevens Village Airport,,
LKA,WATL,Gewayantana Airport,,
FIL,KFOM,Fillmore Municipal Airport,,FAA: FOM
VLU,ULOL,Velikiye Luki Airport,,
KBL,OAKB,Kabul International Airport,,
SAU,WATS,Tardamu Airport,,
GEA,NWWM,Nouméa Magenta Airport,,
CIW,TVSC,Canouan Airport,,
RMS,ETAR,Ramstein Air Base,,
EGA,AYEN,Engati Airport,,
GMC,,Guerima Airport,,
JAP,MRCH,Chacarita Airport,,
SWH,YSWH,Swan Hill Airport,,
ZLX,HSZA,Zalingei Airport,,
SFH,MMSF,San Felipe International Airport,,
YTX,,Telegraph Creek Airport,,TC: CBM5
YCR,CYCR,Cross Lake  Airport,Charlie Sinclair Memorial,
CBT,FNCT,Catumbela Airport,,
GPN,YGPT,Garden Point Airport,,
VKG,VVRG,Rach Gia Airport,,
RDT,GOSR,Richard Toll Airport,,
BRQ,LKTB,Brno-Tuřany Airport,,
BWC,KBWC,Brawley Municipal Airport,,
HRR,,La Herrera Airport,,
BDH,OIBL,Bandar Lengeh Airport,,
OUA,DFFD,Ouagadougou Airport,,
FDR,KFDR,Frederick Regional Airport,,
CUV,SVCG,Casigua El Cubo Airport,,
TRW,NGTA,Bonriki International Airport,,
KRC,WIPH,Depati Parbo Airport,,
CJT,MMCO,Copalar Airport,,
BSI,RPLE,Balesin Airport,,
AIA,KAIA,Alliance Municipal Airport,,
WBQ,PAWB,Beaver Airport,,
EIN,EHEH,Eindhoven Airport,,
WEH,ZSWH,Weihai Dashuibo Airport,,
KTM,VNKT,Tribhuvan International Airport,,
FFU,SCFT,Futaleufú Airfield,,
GUF,KJKA,Jack Edwards Airport,,FAA: JKA
AIT,NCAI,Aitutaki Airport,,
HDS,FAHS,Air Force Base Hoedspruit,,
NTY,FAPN,Pilanesberg International Airport,,
ULV,UWLL,Ulyanovsk Baratayevka Airport,,
OUH,FAOH,Oudtshoorn Airport,,
SGF,KSGF,Springfield–Branson National Airport,,
AOI,LIPY,Ancona Falconara Airport,,
BSX,VYPN,Pathein Airport,,
DOY,ZSDY,Dongying Shengli Airport,,
KMN,FZSB,Kamina Airport,Kamina Ville Airport,
SXV,VOSM,Salem Airport,,
CMJ,RCCM,Qimei Airport,,
MUB,FBMN,Maun Airport,,
JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport,,
MDK,FZEA,Mbandaka Airport,,
MTA,NZMA,Matamata Airport,,
DIP,DFED,Diapaga Airport,,
EGP,,Maverick County Memorial International Airport,,
TDK,,Taldykorgan Airport,,
OAS,OASA,Sharana Airstrip/Forward Operating Base Sharana,,
WPA,SCAS,Cabo Juan Román Airfield,,
SWC,YSWL,Stawell Airport,,
WSX,,Westsound Seaplane Base,,FAA: WA83
EMG,FAEM,Empangeni Airport,,
ITK,,Itokama Airport,,
MVE,KMVE,Montevideo–Chippewa County Airport,,
SSS,,Siassi Airport,,
HHR,KHHR,Hawthorne Municipal Airport,Jack Northrop Field,
POP,MDPP,Gregorio Luperón International Airport,,
SQK,,Sidi Barrani Airport,,
TZO,,Tsimiroro Airport,,
SKP,LWSK,"Skopje ""Alexander the Great"" Airport",,
AAA,NTGA,Anaa Airport,,
CKX,,Chicken Airport,,
TMX,DAUT,Timimoun Airport,,
FCB,FAFB,Ficksburg Airport,,
MZZ,KMZZ,Marion Municipal Airport,,
LFO,HAKL,Kelafo Airport,,
YTY,ZSYA,Yangzhou Taizhou Airport,,
NND,,Nangade Airport,,
IAN,PAIK,Bob Baker Memorial Airport,,
SBJ,SNMX,São Mateus Airport,,
PSA,LIRP,Pisa International Airport,Galileo Galilei Airport,
UBI,,Buin Airport,,
AEU,OIBA,Abu Musa Airport,,
CNU,KCNU,Chanute Martin Johnson Airport,,
SUJ,LRSM,Satu Mare International Airport,,
WAT,EIWF,Waterford Airport,,
LKC,,Lekana Airport,,
YET,CYET,Edson Airport,,
CLX,SATC,Clorinda Airport,,
YQB,CYQB,Québec City Jean Lesage International Airport,,
HKD,RJCH,Hakodate Airport,,
YEM,CYEM,Manitowaning/Manitoulin East Municipal Airport,,
GRT,,Gujrat Airport,,
CXJ,SBCX,Caxias do Sul Airport,Hugo Cantergiani Regional Airport,
AUC,SKUC,Santiago Pérez Quiroz Airport,,
TIC,,Tinak Airport,,FAA: N18
TEO,,Terapo Airport,,
HGL,EDXH,Heligoland Airfield,,
RAO,SBRP,Leite Lopes Airport,,
RPV,,Roper Valley Airport,,
PLW,WAFF,Mutiara Airport,,
KYS,GAKY,Kayes Airport,Dag-Dag Airport,
NLS,,Nicholson Airport,,
DEL,VIDP,Indira Gandhi International Airport,,
KTK,,Kunua Airport,,
BGI,TBPB,Grantley Adams International Airport,,
GDW,KGDW,Gladwin Zettel Memorial Airport,,
AXU,HAAX,Axum Airport,,
NJF,ORNI,Al Najaf International Airport,,
NBH,YNHS,Nambucca Heads Airport,,
WRY,EGEW,Westray Airport,,
AEK,AYAX,Aseki Airport,,
RUT,KRUT,Rutland – Southern Vermont Regional Airport,,
TCW,YTOC,Tocumwal Airport,,
NVP,,Novo Aripuanã Airport,,
LLP,,Linda Downs Airport,,
LGE,,Lake Gregory Airport,,
NUM,OENN,Neom Bay Airport,,
JJN,ZSQZ,Quanzhou Jinjiang International Airport,,
AYP,SPHO,Coronel FAP Alfredo Mendívil Duarte Airport,,
UIH,VVPC,Phu Cat Airport,,
YKU,,Chisasibi Airport,,TC: CSU2
KNH,RCBS,Kinmen Airport,Shang Yi Airport,
IRA,AGGK,Kirakira Airport,Ngorangora Airstrip,
PAN,VTSK,Pattani Airport,,
DLK,YDLK,Dulkaninna Airport,,
MIH,YMIP,Mitchell Plateau Airport,,
BGM,KBGM,Greater Binghamton Airport,Edwin A. Link Field,
OTN,,Ed-Air Airport,,FAA: 2IG4
YCN,CYCN,Cochrane Aerodrome,,
EAE,NVSE,Siwo Airport,,
BQT,UMBB,Brest Airport,,
TUD,GOTT,Tambacounda Airport,,
TLZ,SWKT,Catalão Airport,,
KSW,LLKS,Kiryat Shmona Airport,,
CQT,,Caquetania Airport,,
GCC,KGCC,Gillette–Campbell County Airport,,
MFP,YMCR,Manners Creek Airport,,
HYG,PAHY,Hydaburg Seaplane Base,,
DVR,,Daly River Airport,,
KKU,,Ekuk Airport,,
MQF,USCM,Magnitogorsk International Airport,,
LXA,ZULS,Lhasa Gonggar Airport,,
KTG,WIOK,Rahadi Osman Airport,Ketapang Airport,
NJA,RJTA,Naval Air Facility Atsugi,,
ZGS,,La Romaine Airport,,TC: CTT5
PSP,KPSP,Palm Springs International Airport,,
LWH,YLAH,Lawn Hill Airport,,
MHY,,Morehead Airport,,
TED,EKTS,Thisted Airport,,
JSA,VIJR,Jaisalmer Airport,,
OKY,YBOK,Oakey Army Aviation Centre,,
PLH,EGHD,Plymouth City Airport,,
PMZ,MRPM,Palmar Sur Airport,,
AGR,VIAG,Agra Airport,,
OTJ,FYOW,Otjiwarongo Airport,,
GUI,SVGI,Güiria Airport,,
MJI,HLLM,Mitiga International Airport,,
MNR,FLMG,Mongu Airport,,
GBL,YGBI,South Goulburn Island Airport,,
PAQ,PAAQ,Palmer Municipal Airport,,
BBK,FBKE,Kasane Airport,,
AWA,HALA,Awasa Airport,,
GAN,VRMG,Gan International Airport,,
TKV,NTGO,Tatakoto Airport,,
GFD,KGFD,Pope Field,,
PZO,SVPR,Manuel Carlos Piar Guayana Airport,,
SXU,HASD,Soddu Airport,,
KNP,FNCP,Kapanda Airport,,
POX,LFPT,Pontoise – Cormeilles Aerodrome,,
AEA,NGTB,Abemama Atoll Airport,,
KAO,EFKS,Kuusamo Airport,,
NHS,,Nushki Airport,,
ORY,LFPO,Orly Airport,,
IUE,NIUE,Niue International Airport,Hanan Int'l,
ZFN,CZFN,Tulita Airport,,
JAB,YJAB,Jabiru Airport,,
GUB,MMGR,Guerrero Negro Airport,,
THR,OIII,Mehrabad International Airport,,
INN,LOWI,Innsbruck Airport,Kranebitten Airport,
VTB,UMII,Vitebsk Vostochny Airport,,
SJD,MMSD,Los Cabos International Airport,,
BGL,VNBL,Baglung Airport,,
AHC,KAHC,Amedee Army Airfield,,
RTB,MHRO,Juan Manuel Gálvez International Airport,,
SWX,FBSW,Shakawe Airport,,
NKX,KNKX,MCAS Miramar,,
SRT,HUSO,Soroti Airport,,
THW,,Trincomalee Harbour Seaplane Base,,
NAY,ZBNY,Beijing Nanyuan Airport,,
NRY,,Newry Airport,,
DTI,SNDT,Diamantina Airport,,
LUP,PHLU,Kalaupapa Airport,,
ASG,NZAS,Ashburton Aerodrome,,
SHE,ZYTX,Shenyang Taoxian International Airport,,
FOO,,Kornasoren Airport,Numfoor Airport,
RPN,LLIB,Rosh Pina Airport,,
YVM,CYVM,Qikiqtarjuaq Airport,,
CXT,YCHT,Charters Towers Airport,,
DPO,YDPO,Devonport Airport,,
DAU,AYDU,Daru Airport,,
ADE,OYAA,Aden International Airport,,
ASE,KASE,Aspen–Pitkin County Airport,Sardy Field,
GTA,AGOK,Gatokae Aerodrome,,
FOU,FOGF,Fougamou Airport,,
SCL,SCEL,Arturo Merino Benítez International Airport,,
MLR,YMCT,Millicent Airport,,
PNZ,SBPL,Senador Nilo Coelho Airport,,
BVR,GVBR,Esperadinha Airport,,
OPW,FYOP,Opuwa Airport,,
KHJ,EFKJ,Kauhajoki Airfield,,
YLK,CYLS,Lake Simcoe Regional Airport,,
EUO,,Paratebueno Airport,,
CEO,FNWK,Waco Kungo Airport,,
KGJ,FWKA,Karonga Airport,,
TWP,,Torwood Airport,,
SCG,YSPK,Spring Creek Airport,,
CKC,UKKE,Cherkasy International Airport,,
MAM,MMMA,General Servando Canales International Airport,,
TLU,SKTL,Golfo de Morrosquillo Airport,,
BGE,KBGE,Decatur County Industrial Air Park,,
AUV,AYUM,Aumo Airport,,
YMB,,Merritt Airport,,TC: CAD5
JAX,KJAX,Jacksonville International Airport,,
PUW,KPUW,Pullman–Moscow Regional Airport,,
ILD,LEDA,Lleida–Alguaire Airport,,
MZV,WBMU,Mulu Airport,,
CLN,SBCI,Carolina Airport,,
WZA,DGLW,Wa Airport,,
LTQ,LFAT,Le Touquet – Côte d'Opale Airport,,
BYK,DIBK,Bouaké Airport,,
MOW,,metropolitan area3,,
SHX,PAHX,Shageluk Airport,,
KRT,HSSK,Khartoum International Airport,,
DSE,HADC,Combolcha Airport,,
GRR,KGRR,Gerald R. Ford International Airport,,
HEZ,KHEZ,Natchez–Adams County Airport,Hardy–Anders Field,
IZT,MMIT,Ixtepec Airport,,
SCB,KSCB,Scribner State Airport,,
TOL,KTOL,Toledo Express Airport,,
KTE,WMKE,Kerteh Airport,,
DJG,DAAJ,Tiska Djanet Airport,,
VCF,,Valcheta Airport,,
RGL,SAWG,Piloto Civil Norberto Fernández International Airport,,
UUK,PAKU,Ugnu-Kuparuk Airport,,FAA: UBW
HUL,KHUL,Houlton International Airport,,
BYJ,LPBJ,Beja Airport,,
NPU,,San Pedro de Urabá Airport,,
LUK,KLUK,Cincinnati Municipal Airport,Lunken Field,
VLD,KVLD,Valdosta Regional Airport,,
ZQZ,ZBZJ,Zhangjiakou Ningyuan Airport,,
KGN,FZOK,Kasongo Lunda Airport,,
JAE,SPJE,Jaén Airport,,
NTB,ENNO,"Notodden Airport, Tuven",,
HEK,ZYHE,Heihe Airport,,
JKG,ESGJ,Jönköping Airport,,
AUL,,Aur Airport,,
MHG,EDFM,Mannheim City Airport,,
WLC,YWCH,Walcha Airport,,
OHO,UHOO,Okhotsk Airport,,
MTQ,YMIT,Mitchell Airport,,
LSP,SVJC,Josefa Camejo International Airport,,
IJX,KIJX,Jacksonville Municipal Airport,,
HRE,FVHA,Harare International Airport,,
TRX,KTRX,Trenton Municipal Airport,,
BIZ,,Bimin Airport,,
YNZ,ZSYN,Yancheng Nanyang International Airport,,
SAW,LTFJ,Sabiha Gökçen International Airport,,
OKD,RJCO,Okadama Airport,,
APU,SSAP,Apucarana Airport,,
LKP,KLKP,Lake Placid Airport,,
GNG,KGNG,Gooding Municipal Airport,,
AQB,MGQC,Quiché Airport,,
DOX,YDRA,Dongara Airport,,
OSG,,Ossima Airport,,
KBZ,NZKI,Kaikoura Aerodrome,,
WAJ,,Wawoi Falls Airport,,
WKR,MYAW,Walker's Cay Airport,,
UGT,ZMBR,Bulagtai Airport,,
DAZ,OADZ,Darwaz Airport,,
GXX,FKKJ,Yagoua Airport,,
WBM,AYWD,Wapenamanda Airport,,
EBN,,Ebadon Airstrip,,
AXX,KAXX,Angel Fire Airport,,
FOA,,Foula Airfield,,
OZH,UKDE,Zaporizhzhia International Airport,,
BEO,YLMQ,Lake Macquarie Airport,Belmont Airport,
TBI,MYCB,New Bight Airport,,
GRJ,FAGG,George Airport,,
KKX,RJKI,Kikai Airport,Kikaiga Shima Airport,
CNQ,SARC,Doctor Fernando Piragine Niveyro International Airport,,
YZY,ZLZY,Zhangye Ganzhou Airport,,
PAR,,metropolitan area1,,
YUD,CYMU,Umiujaq Airport,,
BJX,MMLO,Del Bajío International Airport,Guanajuato Int'l Airport,
NKM,RJNA,Nagoya Airfield,Komaki Airport,
SSO,SNLO,São Lourenço Airport,,
NKY,FCBY,Yokangassi Airport,,
YUE,YYND,Yuendumu Airport,,
PSE,TJPS,Mercedita Airport,,
KSJ,LGKS,Kasos Island Public Airport,,
IGA,MYIG,Inagua Airport,Matthew Town Airport,
ERD,UKDB,Berdiansk Airport,,
TKC,FKKC,Tiko Airport,,
RJA,VORY,Rajahmundry Airport,,
CKK,KCVK,Sharp County Regional Airport,,FAA: CVK
SYI,KSYI,Shelbyville Municipal Airport,Bomar Field,
AFK,,Kondavattavan Tank Seaplane Base,,
SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport,,
CLV,SWKN,Caldas Novas Airport,,
YMO,CYMO,Moosonee Airport,,
OER,ESNO,Örnsköldsvik Airport,,
RWF,KRWF,Redwood Falls Municipal Airport,,
CVT,EGBE,Coventry Airport,,
EGC,LFBE,Bergerac Dordogne Périgord Airport,,
IHR,OIZI,Iranshahr Airport,,
PZK,NCPK,Pukapuka Island Airport,,
IFH,OIFE,Hesa Air Base,,
DEA,OPDG,Dera Ghazi Khan International Airport,,
URE,EEKE,Kuressaare Airport,,
SRI,WALS,Temindung Airport,,
PDO,WIPQ,Pendopo Airport,,
GAE,DTTG,Gabès – Matmata International Airport,,
MQL,YMIA,Mildura Airport,,
MPM,FQMA,Maputo International Airport,,
HEH,VYHH,Heho Airport,,
KPM,AYAQ,Kompiam Airport,,
SPG,KSPG,Albert Whitted Airport,,
GAH,YGAY,Gayndah Airport,,
HSN,ZSZS,Zhoushan Putuoshan Airport,,
YZX,CYZX,CFB Greenwood,,
YGK,CYGK,Kingston/Norman Rogers Airport,,
MOK,UNTM,Muynak Airport,,
PMI,LEPA,Palma de Mallorca Airport,,
GES,RPMR,General Santos International Airport,Tambler Airport,
NQT,EGBN,Nottingham Airport,,
MOI,NCMR,Mitiaro Airport,Nukuroa Airport,
TBO,HTTB,Tabora Airport,,
KBB,,Kirkimbie Airport,,
LPM,NVSL,Malekoula Airport,Lamap Airport,
LSX,WITL,Lhok Sukon Airport,,
GDL,MMGL,Guadalajara International Airport,Miguel Hidalgo y Costilla Int'l,
UKG,UEBT,Ust-Kuyga Airport,,
BAZ,SWBC,Barcelos Airport,,
JUI,EDWJ,Juist Airport,,
YQS,CYQS,St. Thomas Municipal Airport,,
JNB,FAOR,O. R. Tambo International Airport,,
SOO,ESNY,Söderhamn Airport,Helsinge Airport,
KTH,,Tikchik Lodge Seaplane Base,,FAA: AK56
FIG,GUFA,Fria Airport,,
RAX,AYYO,Oram Airport,,
ATD,AGAT,Uru Harbour Airport,,
YAA,,Anahim Lake Airport,,TC: CAJ4
MAI,FWMG,Mangochi Airport,,
TAH,NVVW,Whitegrass Airport,,
AIW,,Ai-Ais Airport,,
SPJ,LGSP,Sparti Airport,,
TAU,,Tauramena Airport,,
YUA,ZPYM,Yuanmou Air Base,,
KMS,DGSI,Kumasi Airport,,
AJN,FMCV,Ouani Airport,,
NDL,FEFN,N'Délé Airport,,
ISQ,KISQ,Schoolcraft County Airport,,
TJM,USTR,Roshchino International Airport,,
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport,,
UPG,WAAA,Sultan Hasanuddin International Airport,,
NTX,WION,Ranai Airport,,
TSI,,Tsile Tsile Airport,,
CNT,,Charata Airport,,
RHN,FYSA,Skorpion Mine Airport,,
HSB,KHSB,Harrisburg-Raleigh Airport,,
YSC,CYSC,Sherbrooke Airport,,
KXF,NFNO,Koro Airport,,
NSN,NZNS,Nelson Airport,,
TPR,YTMP,Tom Price Airport,,
KKP,YKLB,Koolburra Airport,,
TEB,KTEB,Teterboro Airport,,
TKD,DGTK,Takoradi Airport,,
MLQ,,Malalaua Airport,,
TKR,VGSG,Thakurgaon Airport,,
YMS,SPMS,Moisés Benzaquén Rengifo Airport,,
BNO,KBNO,Burns Municipal Airport,,
IMM,KIMM,Immokalee Regional Airport,,
NDA,WAPC,Bandanaira Airport,,
CBE,KCBE,Greater Cumberland Regional Airport,,
BLN,YBLA,Benalla Airport,,
DUG,KDUG,Bisbee Douglas International Airport,,
SUZ,,Suria Airport,,
CAV,FNCZ,Cazombo Airport,,
KOQ,EDCK,Köthen Airport,,
MHX,NCMH,Manihiki Island Airport,,
CCL,YCCA,Chinchilla Airport,,
AUQ,NTMN,Atuona Airport,,
JWN,OITZ,Zanjan Airport,,
KYF,YYLR,Yeelirrie Airport,,
PQS,,Pilot Station Airport,,FAA: 0AK
GRX,LEGR,Federico García Lorca Airport,Granada Jaén Airport,
ANY,KANY,Anthony Municipal Airport,,
KKW,FZCA,Kikwit Airport,,
AIF,SNAX,Assis Airport,,former ICAO: SBAS
MFB,,Monfort Airport,,
SUQ,SESC,Sucúa Airport,,
PHS,VTPP,Phitsanulok Airport,,
BWF,EGNL,Barrow/Walney Island Airport,,
NKD,,Sinak Airport,,
EDW,KEDW,Edwards Air Force Base,,
BZL,VGBR,Barisal Airport,,
TEY,BITE,Thingeyri Airport,,
ONT,KONT,Ontario International Airport,,
SYP,MPSA,Ruben Cantu Airport,,
KPI,WBGP,Kapit Airport,,
GMU,KGMU,Greenville Downtown Airport,,
CYW,MMCY,Captain Rogelio Castillo National Airport,,
TUT,,Tauta Airport,,
ALT,,Alenquer Airport,,
BDY,,Bandon State Airport,,FAA: S05
SHY,HTSY,Shinyanga Airport,,
IGE,FOOI,Tchongorove Airport,,
WBK,,West Branch Community Airport,,FAA: Y31
YSQ,ZYSQ,Songyuan Chaganhu Airport,,
OCE,KOXB,Ocean City Municipal Airport,,
MIA,KMIA,Miami International Airport,,
OAZ,OAZI,Camp Bastion Air Base,,
CBP,LPCO,Coimbra Airport,,
PNE,KPNE,Northeast Philadelphia Airport,,
YHN,CYHN,Hornepayne Municipal Airport,,
WTT,,Wantoat Airport,,
OYK,SBOI,Oiapoque Airport,,
MJV,LELC,Murcia–San Javier Airport,,
PCM,,Playa del Carmen Airport,,
EKI,KEKM,Elkhart Municipal Airport,,FAA: EKM
DBB,HEAL,Al Alamain International Airport,,
OSA,,metropolitan area1,,
PAH,KPAH,Barkley Regional Airport,,
ABZ,EGPD,Aberdeen Airport,,
LOW,KLKU,Louisa County Airport,Freeman Field,FAA: LKU
KEU,HKKE,Keekorok Airport,,
HCN,RCKW,Hengchun Airport,,
SFS,RPLB,Subic Bay International Airport,,
ZHA,ZGZJ,Zhanjiang Wuchuan Airport,,
ZNU,,Namu Water Aerodrome,,
BTS,LZIB,M. R. Štefánik Airport,,
SBP,KSBP,San Luis Obispo County Regional Airport,McChesney Field,
BTY,KBTY,Beatty Airport,,
ARZ,FNZE,N'zeto Airport,,
LJA,FZVA,Lodja Airport,,
KZI,LGKZ,Kozani National Airport,Filippos Airport,
GCH,OIAH,Gachsaran Airport,,
KPF,AYDL,Kondubol Airport,,
BJP,SBBP,Arthur Siqueira–Bragança Paulista State Airport,,
TDD,SLTR,Teniente Jorge Henrich Arauz Airport,,
DNO,SWDN,Dianópolis Airport,,
NWH,,Parlin Field,,FAA: 2B3
WVL,KWVL,Waterville Robert LaFleur Airport,,
CII,LTBD,Aydın Airport,Çıldır Airport,
HSI,KHSI,Hastings Municipal Airport,,
SLM,LESA,Salamanca Airport,,
MOQ,FMMV,Morondava Airport,,
HQL,ZWTK,Tashkurgan Khunjerab Airport,,
HAR,KCXY,Capital City Airport,,FAA: CXY
PEU,MHPL,Puerto Lempira Airport,,
PQM,MMPQ,Palenque International Airport,,
KIZ,,Kikinonda Airport,,
INF,DATG,In Guezzam Airport,,
MGB,YMTG,Mount Gambier Airport,,
BYR,EKLS,Læsø Airport,,
ROW,KROW,Roswell International Air Center,,
LBR,SWLB,Lábrea Airport,,
WYB,,Yes Bay Lodge Seaplane Base,,FAA: 78K
PPG,NSTU,Pago Pago International Airport,,
MKG,KMKG,Muskegon County Airport,,
VRN,LIPX,Verona Villafranca Airport,,
AER,URSS,Sochi International Airport,,
YKY,CYKY,Kindersley Regional Airport,,
DSA,EGCN,Doncaster Sheffield Airport,,
NYO,ESKN,Stockholm Skavsta Airport,,
GLD,KGLD,Goodland Municipal Airport,Renner Field,
MYF,KMYF,Montgomery Field Airport,,
MOS,,Moses Point Airport,,
TJG,WAON,Warukin Airport,,
ANW,KANW,Ainsworth Regional Airport,,
APP,,Asapa Airport,,
JCR,SBEK,Jacareacanga Airport,,
MKJ,FCOM,Makoua Airport,,
PKB,KPKB,Mid-Ohio Valley Regional Airport,,
NMP,,New Moon Airport,,
PTK,KPTK,Oakland County International Airport,,
